ID,User needs,Proposed service name,Existing services,Volumes,Dealings,Reference,Practice guides,
14,"As the freehold owner of land or property I need to create, change or cancel a lease on it so that my interest is protected","Register, extend or cancel a lease on land or property",New lease; Lease extension,,,AP1,,
15,As a lender I need to make sure my financial interest in land or property is registered so it can be protected,Register or cancel a mortgage on land or property,Charge; Discharge; Mortgage: cancellation of entries for lenders; Cancel entries relating to a charge: registration; Remove a paid off mortgage: registration; Mortgage: release of part of the land for lenders; Charge or portfolio of charges: transfer; Standard form of charge: approval; Consolidation of charges: entry,,,AP1; Ds1/e-DS1; ED; DS1; DS2; DS2E; DS3; TR4; ACD; CC,,
16,As someone who has a right to use land or property or take natural resources from it I need to register this interest so that it can be legally enforced,Claim an interest in or right to use land or property,"Search of the index of Relating Franchises and Manors; Legal charges: registration; legal charges: obligation for further advances; Legal charges: security; Commonhold land: charge notification; Disclosable overriding interests; Claim prescriptive easement; Land charge: registration; Pending action, writ or order",,,AP1; SIF; CH1; CH2; CH3; COE; DI; ST4 (prescriptive easements); K1; K2; K3; K4;K7; K8; K11; K13; K20,Franchises: PG18; Mines and minerals: PG65; Claim prescriptive right: PG52; Right to take natural resources (profit a prendre): PG16; Manorial rights: PG22,
17,As someone who has a right of way over land or property I need to register it as a legal interest so it can be enforced,Register a right of way over land or property,"Register, update, override or extinguish an easement; Claim implied or prescriptive easement",,,AP1; AN1,Easements: PG62; Claim prescriptive right: PG52,
18,As someone with an interest in land or property I need to register this so that my interest can be legally enforced,"Register a restriction, caution or notice on land or property",Agreed notice; Unilateral notice; Remove unilateral notice; Withdraw unilateral notice; Create electronic withdrawal of caution; Cancel caution; Caution against dealings; Caution against registration; Caution against first registration; Cancel notice; Restriction; Cancel restriction; Withdraw restriction; Restriction by owner not living at property request; Restriction by company request; Development rights: notice of surrender; Cancellation of restriction (statement of truth); Unilateral notice: register as a beneficiary,,,"AN1/e-AN1; UN1; UN2; UN3; UN4; CCD/e-CCD; CT1; CCT; e-CN1, WCT/e-WCT; RX1/e-RX1; RX2; RX3/e-RX3, RX4/e-RX4; e-UN1; e-UN2; e-UN4; RQ; RQ(Co); SR1; ST5 (cancel restriction)",PG19; PG19a,
19,As someone who has been using land or property I need to have it registered in my name so I can legally use or sell it,Claim ownership of land or property,Claim adverse possession; Contest adverse possession,,,ADV1; ADV2; NAP; ST1/ST2 (adverse possession),Adverse possession: PG4/PG 5; Vesting: PG54,
20,As someone going through a divorce or separation I need to ensure I can stay in the marital home so that my partner or spouse can't force me to leave,Protect your right to stay in your marital home during a divorce or separation,Notice of home rights; Cancel notice of home rights; Search for registered home rights,,,HR1; HR2; HR3; HR4; e-HR1; e-HR4,PG20,
21,As a property developer I need to combine separate titles into a single title as I acquire them so I can create a single estate,Combine land or property titles,Draft for approval; Estate plan approval; Estate boundary approval,,,DFA; EPA; EBA,Development schemes: PG72,
22,As a farmer I need to secure a loan against my farming stock and equipment to expand or diversify my business,Use farming stock or equipment as security for a loan,Agri credits,,,AC1-AC8,,
23,"As a government agency or authorised body I need to access information about court proceedings, insolvency and tax liability so I can progress an investigation",Access sensitive information relating to land or property,"Court proceedings, insolvency and tax liability: information access; Bankruptcy official search",,,PRD1; K16,,
